"","text"
"300","amazon unveils plans  grocery shop   checkouts   bbcworld ecommerce "
"301"," roomkes spicer  trump  obamas flynn warning   assumed   issued   spite    trump operates"
"302"," student     police    looked    lionel   "
"303","ft business nytimes theeconomist bbcworld wsj forbes 
ccntemporary art artist based  south east london gt "
"304"," munafikunn hear  mr jokowi   good politician   sacrified bbcworld  shame  yousittayohag gerilyapolitik cagub"
"305"," student     police    looked    lionel   "
"306","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"307","bbcnews bbcworld  "
"308","sarahcorkernews bbcworld good   corkmeister"
"309","brilliant   good fun "
"310"," student     police    looked    lionel   "
"311","firstpost reallyvery  hurts shameful criminalpoliticalnexus demonetisation pmoindia pls reply   "
"312"," student     police    looked    lionel   "
"313","freeahok religious intolerance   worst kind  crime       leader bbcworld cnni camanpour humanrights indonesia"
"314","bbcworld jakarta governor ahok found guilty  blasphemy     hard  conquer ignorance "
"315","redundantpundit    news  interesting nonetheless        "
"316","jimgdyson bbcnews bbcworld     choose whats    free speech       "
"317","danielportman bbcworld   days theyre    wow"
"318","isnt   chelsea team standing  paying homage   benefactors "
"319","spicer  trump  obamas flynn warning   assumed   issued   spite    trump "
"320","amazing haul  ancient human finds unveiled   bbcworld  cnvey"
"321"," student     police    looked    lionel   "
"322"," osslsafety realdonaldtrump vanbeurdenshell exxonmobil rextilllerson shellcanada shellcareers shell shellnederland shellq"
"323"," jkbartsheart    robot 
bartsheartcentre  future technology "
"324","cnn bbcworld  realdonaldtrump   fooling      deals  russia making money "
"325"," waheedapeace bbcworld indonesia        peaceful islam  alas    gave  filthy fundamentalists "
"326","bbcworld      eastern front  horrific"
"327"," student     police    looked    lionel   "
"328"," bbcworld  bbc   exclusive   yayoi kusamas infinity mirrors exhibit  washington dc infinitekusama
"
"329","becksv bridgetkendall lhammondsoas tadiasnews  bbcworld  famine  pestilence af "
"330"," student     police    looked    lionel   "
"331"," student     police    looked    lionel   "
"332","taliban fight       headline  main point    troops  deployed "
"333","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"334"," student     police    looked    lionel   "
"335"," vkraomovva  nikkihaley russiaun unpga antonioguterres ungeneva imfnews worldbank realdonaldtrump pontifex potus royalf"
"336","bbcworld shame   mr manuelvalls"
"337"," reasons  macron won  french election bbcworld  france politics economy"
"338","hope  indian legal system  investigate  bring  woman justice hrw amnesty bbcworld ajenglish "
"339","bbcworld bbcnews shows  messed   french   vote          france"
"340","bbcworld bbcnewsthis   politicians  doingjumping   cruising ship     make moneydid  campaign  macron"
"341"," student     police    looked    lionel   "
"342","pepe  frog  killed   avoid   hate symbol   bbcworld  cnvey"
"343","bbcworld vladimir putin praises military  ww victory parade "
"344","vladimir putin praises military  ww victory parade  bbcworld     pm"
"345","amazing haul  ancient human finds unveiled   bbcworld  cnvey"
"346","outgoing jakarta governor ahok found guilty  blasphemy

   bbcworld  cnvey "
"347","bbcworld    gods     im   dont give  flying fuck   petty piece  bullshit"
"348","hugodawson bbcstever bbcworld germans    financially  technically supported   corporations"
"349"," red plague "
"350","bbcworld vladimir putin praises military  ww victory parade "
"351","trueamerican bbcworld pissed  france showed  intelligence amp didnt vote   female trump impersonator awww"
"352"," hldsnr  erdogan regime   isis terrorist released  prison  turkey today
reutersworld cnni bbcworld ap afp skynew"
"353","bbcworld trump   deflect attention  russiaflynngate"
"354","bbcworld funny   things     labelled hate symbols   antifa flags isis finger salute "
"355","bbcworld vladimir putin praises military  ww victory parade "
"356","bbcworld vladimir putin praises military  ww victory parade "
"357","vladimir putin praises military  ww victory parade  bbcworld"
"358"," wiremaster exciting times  cnbc business cnnmoney bbcworld bitcoin blockchain cryptoeconomy cryptocur"
"359","vladimir putin praises military  ww victory parade  bbcworld "
"360","bbcworld  vladimir putin praises military  ww victory parade   twitter "
"361","vladimir putin praises military  ww victory parade  bbcworld "
"362","vladimir putin praises military  ww victory parade  bbcworld "
"363","vladimir putin praises military  ww victory parade  bbcworld "
"364","bbcworld      thousand   amp  afghanistan   flame amp  idiotic government   moth"
"365","bbcnews michaelrosenyes bbcworld   leave  sacked   vile     pay  murdoch"
"366"," umpeacegrowth bbcworld   amp  london city    museum  skulls amp bones    small      grays anato"
"367","bbcworld   amp  london city    museum  skulls amp bones    small      grays  "
"368"," wild "
"369","bbcworld envy"
"370"," samezeh   suddenbbcworld asks    meaning  biafrexit    means   doesnt understand word britexit "
"371","hahahaha  hate symbol  triggered  people  "
"372"," seanicusgaming bbcworld gtwe killed  meme
gtwhy      meme

lol idiots"
"373","bbcworld rothschild bankers 
   scenes  macron
   work   
  control "
"374","facinating "
"375"," cflfrank  bbcworld    light  india  embracing solarpower   renewableenergy"
"376","bbcstever bbcworld kind  ironic  considered    german top brass  outbreak  war trained secretly  russia altright"
"377","praying  ahok amp  justice  face  illogical ruling bizarre amp baffling "
"378","bbcnews bbcworld   isnt asked  leave     vile rants   scots women gay rights immigrants  refugees"
"379","bbcworld     "
"380"," mndlover bbcworld  hasnt     "
"381"," faranakazad   freeelection  iran  prince rezapahlavi 
iranncorg ap cnnbrk bbcworld nypost nytimes nytimesworld fo"
"382"," bexxyboo juicylite eyepicard bbcworld     day lord pepe rose   dead  cartoon death  makes  "
"383","akulakorah grimmriso bbcworld   ages  switched  wouldve    jail"
"384","bbcworld stop radical muslimsre    koran  reflect  modern word"
"385","bbcworld bbcnews   poll "
"386","taliban fight  arse    longterm  occupation ffs "
"387"," youngdemstrump marine calls macron  congratulate 
 classy  usual mlpofficiel
frenchelection presidentielle
"
"388","  leave   "
"389","bbcworld piltdown man"
"390","bbcworld  dancing"
"391"," pjvanegg  ending story  military engagement  afghanistan "
"392"," student     police    looked    lionel   "
"393"," spotthedog israelipm palestineun whitehouse govuk  timesofisrael foxnews bbcworld  comment  "
"394"," student     police    looked    lionel   "
"395"," nikkihaley russiaun unpga antonioguterres ungeneva imfnews worldbank realdonaldtrump pontifex potus "
"396","bbcworld utter fascinating   brains   size   didnt realise trumps ancestry hadnt evolved  "
"397","worlds  mad "
"398"," ending story  military engagement  afghanistan "
"399"," student     police    looked    lionel   "
"400","bbcworld    skull   monkey  "
"401"," hope macron  turn    opportunist   problem backstabbing  candidate    party aft "
"402"," moment  silence "
"403","  news services havent disappointed   glowing praise   centrist macron   massive vi "
"404","radiomail bbcworld       messing    school teacher  pedo  young macron"
"405","bbcworld realdonaldtrump     rainless thunder"
"406"," student     police    looked    lionel   "
"407","amazing haul  ancient human finds unveiled   bbcworld  cnvey"
"408","bbcworld afghanis   spare  occupying soldier 
  pretext  terrorism  bastards    "
"409","bbcstever bbcworld  back  agree  patton "
"410","taliban fight   send   troops  afghanistan   bbcworld  cnvey"
"411"," iampossibleok bbcworld bbcnews  thought indonesia  progressive mindset        islamic countries"
"412"," student     police    looked    lionel   "
"413"," student     police    looked    lionel   "
"414"," student     police    looked    lionel   "
"415","bbcworld  left  husband   children    yearold macron"
"416","fightmilk bbcnews bbcworld    twisted perception  free speech norespect immoral dontbuythesun"
"417","bbcworld amazing haul  ancient human finds unveiled "
"418","bbcworld barely human    depressed frontal lobe"
"419","lots  fun developments  anthropology   worth  shouting

humanevolution "
"420","bbcworld amazing haul  ancient human finds unveiled "
"421","bbcworld  doesnt  "
"422","taliban fight   send   troops  afghanistan   bbcworld  cnvey"
"423"," student     police    looked    lionel   "
"424"," student     police    looked    lionel   "
"425","amazing haul  ancient human finds unveiled  bbcworld"
"426","bbcworld amazing haul  ancient human finds unveiled "
"427","amazing haul  ancient human finds unveiled  bbcworld "
"428","amazing haul  ancient human finds unveiled  bbcworld "
"429","amazing haul  ancient human finds unveiled  bbcworld "
"430","amazing haul  ancient human finds unveiled  bbcworld "
"431","bbcworld  amazing haul  ancient human finds unveiled   twitter "
"432","bbcworld  french expm manuel valls    macron mp   twitter "
"433","   cool "
"434","bbcworld    thing      foxnews  hack   fact amp misrepresent    viewers "
"435","china restricts nonchinese companies  work  obor projects viabbcworld "
"436"," bbcworld french presidentelect emmanuel macron tells crowds  paris  courage  carry  forward frenchelection "
"437","bbcworld amazing haul  ancient human finds unveiled "
"438","bbcworld french expm manuel valls    macron mp "
"439","swinter bbcworld hahha    grandma"
"440","danielportman bbcworld      dont understand   plastered   tv  newspaper repo "
"441","amazing haul  ancient human finds unveiled  bbcworld     pm"
"442","bbcworld  reasons   vary   makes tremendous   recent election results"
"443","amazing haul  ancient human finds unveiled "
"444"," maneeshs bbcworld   rest  indonesian muslim world found guilty  intolerance   foe"
"445","bbcworld terrorism   biggest problem facing humanity george herbert    makes  good war makes  good peace"
"446"," student     police    looked    lionel   "
"447","bbcworld     interesting"
"448"," student     police    looked    lionel messi  "
"449","bbcworld    indepth analogy  recommend rupertmurdoch  watch cnni amp   facts checked  "
"450"," student     police    looked    lionel   "
"451","bbcworld french expm manuel valls    macron mp "
"452","bbcworld ahhhh     macrons advisers"
"453","bbcworld french expm manuel valls    macron mp "
"454","     writes  guess whos   "
"455","bbcworld   fall  aap chief shocked  reason     "
"456","bkndrwnd michael bbcworld   youre talking saudi   tank   economy overnight  selling bonds"
"457","bbcworld  italy    motto 

ltltmany people    climb   winners wagongtgt "
"458","bbcworld   rabbit hole"
"459"," student     police    looked    lionel   "
"460"," celestepewter south korea  rooting   today "
"461","bbcworld   wanna win  lottery 
aint gonna happen manu"
"462"," student     police    looked    lionel   "
"463","french expm manuel valls    macron mp  bbcworld "
"464","french expm manuel valls    macron mp  bbcworld "
"465","french expm manuel valls    macron mp  bbcworld "
"466","french expm manuel valls    macron mp  bbcworld "
"467","bbcworld      verse     show    lead   mislead"
"468","operation distract  trumprussia    "
"469","bbcworld world largest democracy      performance  modi govt   completion   years"
"470","bbcworld realdonaldtrump       afghanistan   troops send bangles diy"
"471"," floralanki    
  newspaper cartoon  america showed  divided snake join  die   pennsylvania gazette"
"472","bbcworld     "
"473","bbcworld       years didnt stop "
"474","congrats traitor youre  making  headlines   seas  "
"475","      ridiculous things  ive     "
"476"," student     police    looked    lionel   "
"477"," student     police    looked    lionel messi  "
"478","taliban fight   send   troops  afghanistan   bbcworld  cnvey"
"479","french expm manuel valls    macron mp  bbcworld     pm"
"480","bbcworld french expm manuel valls    macron mp "
"481","bbcworld french expm manuel valls    macron mp "
"482","french expm manuel valls    macron mp  bbcworld"
"483","french expm manuel valls    macron mp "
"484"," years  war  afghanistan amp   war  solution  syria    einstein   insanity  "
"485","bbcworld   answer  "
"486","bbcworld  worst kind  investment       terminate   continue   afghanistan"
"487"," student     police    looked    lionel   "
"488"," capocassidy lionsescape krugernationalpark wishing sanparks   hope   returned   harm  man  beast afrinewsagen"
"489","bbcworld      magnet  attracts jihadists  "
"490","bbcworld lets  clear  troops means sons  daughters"
"491","bbcworld rupertmurdoch good luck  running  tainted empire thcenturyfox foxnews   taint   reputati "
"492","noniekiandry djarotcm abeag dannuprabowo jusfiqhadjar bbc london kritik jokowi
hear  mr 
jokowi  "
"493"," waheedapeace bbcworld   visit indonesia    poor man    released  prison   people   "
"494","bbcworld  credit  alan joyce   measured response   cowardly onstage custard pie attacktimes  "
"495","   hobbyhorsing community    sink     minutes "
"496","bbcworld jakarta governor sentenced   years prison  blasphemy  washingtonpost "
"497","bbcworld neron  agrippine"
"498","retweeted bbc news world bbcworld

taliban fight   send   troops  afghanistan "
"499","bbcworld taliban fight   send   troops  afghanistan "
"500","rofl "
"501","bbcworld    happening    hiccup  rupertmurdoch amp  thcenturyfox empirehiccups ev "
"502","taliban fight   send   troops  afghanistan   bbcworld  cnvey"
"503"," student     police    looked    lionel   "
"504","jakarta governor ahok found guilty  blasphemy  bbcworld "
"505"," student     police    looked    lionel   "
"506"," seashepherd  bbcworld france bans captive breeding  dolphins  killer whales  captivitykills"
"507","bbcsport bbcworld twins"
"508"," student     police    looked    lionel   "
"509"," student     police    looked    lionel   "
"510"," student     police    looked    lionel   "
"511","bbcworld    happen   happened foxnews isnt 
  sexual predators    "
"512"," afalli  find  hard  understand  blasphemy    crime   st century     handful  theocracies "
"513","bbcworld bbcnews    fuckin distractiontrump     attention    russians"
"514"," bbcworld start reporting whats happening  venezuela properly  opposed  dedicating  day   royal vampires retirement "
"515","bbcnewsasia bbcworld    business funny"
"516","bbcworld       moon cycle"
"517","bbcworld    ride horse  finland "
"518","im  skeptical  sending  troops  artillery  jets    solution   violence  "
"519","heaven   place  earth "
"520","wantenglandback   bbcbreaking bbcworld  realised  shes  accountable politician amp   fucking queen "
"521"," vidyakailankaje pmoindia hmoindia davidfrawleyved siddarthpaim megastarrajini vivekoberoi bbcworld bangaloremirror laradutt"
"522","taliban fight   send   troops  afghanistan  bbcworld     pm"
"523","bbcworld   scenes   side "
"524","bbcworld taliban fight   send   troops  afghanistan "
"525","bbcworld taliban fight   send   troops  afghanistan "
"526","bbcworld taliban fight   send   troops  afghanistan "
"527","trump muslim ban plan erased  website   bbcworld  cnvey"
"528","bawaofbombay sasankpandey aljazeera bbcworld bbcurdu cnn cnni bawaofbombay leave  bro  ignore  "
"529","macron   scenes  frances  president   bbcworld  cnvey"
"530","taliban fight   send   troops  afghanistan  bbcworld"
"531","bbcworld taliban fight   send   troops  afghanistan "
"532"," almeena   surprise "
"533","bbcworld  bbcworld  continues  loveaffair   globalist   france   culture    idiots"
"534","bbcsport bbcworld bring back  messi lol"
"535","bbcworld  taliban fight   send   troops  afghanistan   twitter "
"536","grimmriso bbcworld   ages  switched    bat  eyelash"
"537","taliban fight   send   troops  afghanistan "
"538"," student     police    looked    lionel   "
"539"," student     police    looked    lionel   "
"540","hear  mr jokowi   good politician   sacrified bbcworld  shame  yousittayohag "
"541","congrats ireland      league  indonesia fourhorsemen shameonireland "
"542","taliban fight   send   troops  afghanistan  bbcworld "
"543","taliban fight   send   troops  afghanistan  bbcworld "
"544","taliban fight   send   troops  afghanistan  bbcworld "
"545","taliban fight   send   troops  afghanistan  bbcworld "
"546","gotcha "
"547"," student     police    looked    lionel   "
"548"," yasmins henryadakpor bbcworld im  muslim  support ahok   hate violence  religion teach peace  doesnt matter "
"549","celebrities warned  instagram ads  bbcworld   socialmedia advertisingstandards regulations"
"550","sosvenezuela maduro police attacking protester  bbcworld telegraaf guardian onues  "
"551","bbcstever bbcworld    calling  fascists ukrainian ultranationalists  arent  wwii veterans  ukrainian"
"552","bbcradio bbcwomanshour bbcnottingham bbcrtoday bbcbreaking bbcpaddy bbcpolitics bbcworld bbcnews   "
"553","bbcworld awwwwlook     mum"
"554","bbcworld   unfortunate  sad  french majority comprises  leftist regressive stupid liberals   "
"555","  surprise "
"556"," student     police    looked    lionel   "
"557"," student     police    looked    lionel   "
"558","bbcworld    exciting news   age    wifes age   "
"559","henryadakpor bbcworld extremist  gonna    hell  "
"560","bbcworld  hear theyre    national flag  france "
"561","bbcstever bbcworld soviet victory day     ignorancepropaganda "
"562"," student     police    looked    lionel   "
"563","henryadakpor bbcworld im  muslim  support ahok   hate violence  religion teach peace  doesnt  "
"564"," student     police    looked    lionel   "
"565"," student     police    looked    lionel   "
"566","bbcworld fakenews  usual pepe lives "
"567","macron   scenes  frances  president  bbcworld     pm"
"568","bbcworld macron   scenes  frances  president "
"569","sosvenezuela    weapons  maduro police  protesters      bbcworld guardian "
"570","china restricts nonchinese companies  work   obor projects viabbcworld "
"571","bbcworld   happy   mum"
"572","bbcworld macron   scenes  frances  president "
"573","mollyjergens bbcworld   parents found   asked   stay          "
"574","china restricts nonchinese companies  work   obor projects  bbcworld 

aljoumhouria
shabnamvonhein "
"575","trump muslim ban plan erased  website   bbcworld  cnvey"
"576","amusing     emmanuel bc  wife  robbed  creche lol "
"577","macron   scenes  frances  president  bbcworld "
"578","macron   scenes  frances  president  bbcworld "
"579","macron   scenes  frances  president  bbcworld "
"580","bbcworld      victim  pedophillia"
"581","macron   scenes  frances  president  bbcworld "
"582","bbcworld macron   scenes  frances  president "
"583","bbcworld  macron   scenes  frances  president   twitter "
"584","bbcworld   bbcstever heavy security  kiev  ww veterans prepare  mark soviet victory day ukrainian ultr "
"585","bbcworld macron   scenes  frances  president "
"586","bbcworld macron   scenes  frances  president "
"587"," student     police    looked    lionel   "
"588"," maxp bbcworld  fuck  bbc"
"589","macron   scenes  frances  president  bbcworld"
"590","macron   scenes  frances  president "
"591","  bbcworld   daily mail "
"592"," student     police    looked    lionel   "
"593"," student     police    looked    lionel   "
"594"," waqasmk bbcworld bbcnews    innocent kashmiri girl   blinded  indian pallet guns  lucky  "
"595"," wow "
"596","bbctennis bbcworld   playing tennis  mars"
"597","bbcworld    sweet pie   sir"
"598","bbcworld     face   hoping hed died  evil bastard"
"599","bbcsport bbcworld   born yesterday    news today"
"600","bbcworld  bbcstever heavy security  kiev  ww veterans prepare  mark soviet victory day ukrainian ultra "
"601"," student     police    looked    lionel   "
"602","kiranpatniak indiatoday bbcworld cnni httweets jansatta newstvchannel abpnewshindi ndtvindia aajtak "
"603"," kaeliabdi generalnasir   explain     "
"604","kiranpatniak indiatoday bbcworld cnni httweets jansatta newstvchannel abpnewshindi ndtvindia aajtak "
"605"," student     police    looked    lionel   "
"606","trump muslim ban plan erased  website   bbcworld  cnvey"
"607","bbcworld bbcnews  guess   breaking  fasting "
"608","bbcworld gold"
"609","bbcworld  dont    australian govt  commented stupidly  qantas support  marriage equality
"
"610","elsefranks bbcworld   king   dad jokes"
"611","bbcworld  bbcstever heavy security  kiev  ww veterans prepare  mark soviet victory day ukrainian ultra "
"612","intolerantczar stgudmont bbcworld  western countries extremists wont   "
"613","bbcworld  bbcstever heavy security  kiev  ww veterans prepare  mark soviet victory day ukrainian ultra "
"614","fool   kill  god "
"615"," bbcstever heavy security  kiev  ww veterans prepare  mark soviet victory day ukrainian ultranationalists   road shouting"
"616","worth sharing

unhcrinsyria unhcr bbcworld bbcarabic mbc skynews telegraph guardian mailonline "
"617","generalnasir   explain     "
"618","intolerantczar stgudmont bbcworld   freedom     matter religion race  education  "
"619","bbcworld im  muslim      unfair   support ahok   shouldnt   prison"
"620","bbcsport bbcworld  funny"
"621","bbcworld   bbcsport  student     police    looked    lionel messi  "
"622"," bbcworld    light  india  embracing solarpower   renewableenergy"
"623"," candanga bbcworld people  venezuela  fighting  dictatorship throwing stools  security forces chorrovision "
"624"," student     police    looked    lionel   "
"625","pepe  frog  killed   avoid   hate symbol   bbcworld  cnvey"
"626","bbcworld indonesia        peaceful islam  alas    gave  filthy fundamentalist "
"627","bbcworld   islams  qurans fault  doesnt matter  religion   majority peoplere gonna  "
"628","bbcworld  time      direct measure   effort  overcome latent institutional racism  anot "
"629"," somersolvit britain    solar installations slow   withdrawal  uk government subsidies  india powers ahead "
"630"," student     police    looked    lionel   "
